patient_id,ho_ten,cccd,so_dien_thoai,email,dia_chi,ngay_sinh,benh,ket_qua_xet_nghiem
P00024,Hạnh Vũ,590265069967,07370697698,hạnh.vũ13@outlook.com,"JaneThành phố, 9 Vũ Làng, 967074",1960-11-13,Bệnh dạ dày,LDL: 160 mg/dL
P00025,Hưng Đức Dương,797325455622,07759558201,hưng.đức.dương77@yahoo.com,"6 John Hẻm, JaneQuận, 168475",1996-10-02,Bệnh tim mạch,HDL: 55 mg/dL
P00026,Anh Tùng Dương,840280563302,09132834278,anh.tùng.dương42@gmail.com,"283 Lê Ngõ, Thị xã JohnHuyện, 603600",1984-02-05,Đau thắt ngực,HbA1c: 6.5%
P00027,Quang Bảo Trần,214942152090,09448588362,quang.bảo.trần76@yahoo.com,"529 Dương Đường, JohnThị xã, 132073",1957-04-23,Bệnh tim mạch,HbA1c: 6.5%
P00028,Dũng Trần,144982398971,07367808667,dũng.trần75@email.com,"376 Mai Ngõ, JohnPhường, 764481",1962-10-08,Gan nhiễm mỡ,HbA1c: 8.1%
P00029,Bà Bảo Hoàng,497990580837,08738894151,bà.bảo.hoàng18@email.com,"66 John Tổ, JohnThành phố, 153539",1961-10-15,Bệnh phổi tắc nghẽn mãn tính,eGFR: 75 mL/min/1.73m2
P00030,Chị Linh Trần,451045376338,05685715156,chị.linh.trần71@email.com,"5 Trần Đường, JaneThành phố, 240575",1998-01-22,Rối loạn lipid máu,HbA1c: 7.2%
P00031,Anh Mai,454790575956,05506355556,anh.mai69@yahoo.com,"3 Trần Khu, Thành phố JohnQuận, 967598",1982-08-16,Bệnh phổi tắc nghẽn mãn tính,CT scan: Không bất thường
P00032,Phương Hải Lê,743630083966,07849304096,phương.hải.lê29@gmail.com,"8 Jane Khu, JanePhường, 644714",1950-10-07,Gan nhiễm mỡ,LDL: 160 mg/dL
P00033,Quý ông Quang Trần,825736265481,05172367973,quý.ông.quang.trần78@gmail.com,"03 Jane Tổ, Thành phố JaneXã, 999480",1971-03-26,Bệnh tim mạch,HbA1c: 6.5%
P00034,Hưng Bảo Nguyễn,519365688080,05498586234,hưng.bảo.nguyễn67@outlook.com,"204 Jane Dãy, Thành phố JaneThị xã, 203502",1953-11-27,Bệnh Parkinson,Cholesterol: 180 mg/dL
P00035,Chị Bảo Trần,999454472892,09482504981,chị.bảo.trần54@email.com,"154 John Tổ, JaneQuận, 362360",2007-10-15,Bệnh phổi tắc nghẽn mãn tính,HbA1c: 6.5%
P00036,An Trí Phạm,626734390579,03364792957,an.trí.phạm51@gmail.com,"12 Jane Số, JaneThị xã, 161694",1991-01-25,Suy thận mạn,Huyết áp: 140/90 mmHg
P00037,Hạnh Đặng,845180022276,07626052895,hạnh.đặng39@outlook.com,"78 Jane Ngõ, Thành phố JaneXã, 639589",1982-12-03,Tiểu đường type 2,Cholesterol: 180 mg/dL
P00038,Khoa Xuân Hoàng,833694158623,08760846608,khoa.xuân.hoàng27@gmail.com,"47 Bùi Khu, JaneHuyện, 168301",2008-06-21,Bệnh tim mạch,eGFR: 75 mL/min/1.73m2
P00039,Thành Lê,234124878641,03942511785,thành.lê63@email.com,"688 Trần Khu, JaneThị xã, 310821",1988-06-19,Tiểu đường type 2,HbA1c: 7.2%
P00040,Bà Phương Phạm,152173245503,09784771748,bà.phương.phạm72@yahoo.com,"4 John Tổ, Thị xã JaneThị xã, 201262",1977-06-21,Bệnh Alzheimer,Huyết áp: 140/90 mmHg
P00041,Cô Hải Bùi,128060159541,05051996324,cô.hải.bùi25@gmail.com,"560 John Tổ, Quận JanePhường, 377989",1953-02-23,Bệnh tuyến giáp,eGFR: 75 mL/min/1.73m2
P00042,Kim Đặng,201950075368,03093632222,kim.đặng29@outlook.com,"38 John Khu, Quận JaneQuận, 781245",1976-05-29,Bệnh dạ dày,MRI não: Không phát hiện bệnh lý
P00043,Linh Trần,338870775485,03517112346,linh.trần24@gmail.com,"69 Hoàng Tổ, Thành phố JaneThành phố, 134682",1965-12-23,Bệnh Alzheimer,MRI não: Không phát hiện bệnh lý
P00044,Cô Duyên Trần,454152876377,05878587009,cô.duyên.trần52@outlook.com,"709 Jane Dãy, JaneHuyện, 240534",1967-03-19,Viêm phổi,eGFR: 45 mL/min/1.73m2
P00045,Linh Vũ,726103748540,09999241560,linh.vũ63@email.com,"2 Jane Tổ, JaneXã, 131671",1978-09-14,Rối loạn lipid máu,Huyết áp: 120/80 mmHg
P00046,Tùng Vũ,614421007180,05455426272,tùng.vũ44@outlook.com,"246 Đặng Đường, JohnHuyện, 208058",1995-04-14,Bệnh Alzheimer,Glucose: 140 mg/dL
P00047,Cô Hương Dương,900357823781,03291425933,cô.hương.dương30@outlook.com,"4 John Số, Thị xã JohnQuận, 976505",1988-02-13,Suy thận mạn,eGFR: 45 mL/min/1.73m2
P00048,Hoàng Mai,135716513978,05051254974,hoàng.mai75@yahoo.com,"3 Nguyễn Đường, Huyện JaneThị xã, 150959",1968-03-25,Bệnh tim mạch,eGFR: 75 mL/min/1.73m2
P00049,Thành Quang Trần,831933100859,09921436078,thành.quang.trần30@email.com,"434 Jane Đường, JaneQuận, 211887",2008-01-29,Bệnh dạ dày,LDL: 130 mg/dL
P00050,Quý ông Hoàng Vũ,201418012551,07525751075,quý.ông.hoàng.vũ30@email.com,"270 Dương Dãy, Thành phố JaneXã, 538726",1997-05-03,Viêm phổi,Cholesterol: 180 mg/dL
